trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
469	110	1	1	4	3	1	1	1.0	1	2012	4	9	1	11.5	55	1	1	2	6331	1.519444444	0.405555556	0.071944444	0.0	0.5	0.0	0	0.263333333	1.5	0.99	0.0	0.219409
512	124	0	0	1	3	6	1	1.0	1	2012	4	10	2	11.0	42	0	0	0	1116	0.260833333	0.081944444	0.090833333	0.0	0.050833333	0.0	0	0.090277778	1.5	0.23	0.0	0.107692
513	124	0	1	1	3	6	1	1.0	1	2012	4	10	2	11.5	42	0	0	0	1116	0.25	0.076944444	0.061666667	0.0	0.0891666669999999	0.0	0	0.095	1.5	0.23	0.0	0.175439
516	125	1	2	4	5	6	1	1.0	1	2012	4	10	2	15.25	37	1	1	2	13128	3.1625	0.880277778	0.048055556	0.35	0.205277778	0.2	2	0.409166667	4.5	1.85	0.0	0.306857
522	126	0	2	1	3	1	1	1.0	1	2012	4	10	2	16.0	49	0	1	1	813	0.232222222	0.0847222219999999	0.120555556	0.0	0.038611111	0.0	0	0.053055556	1.5	0.16	0.0	0.078534
545	129	3	1	1	3	2	1	1.0	1	2012	4	10	2	11.83333333	18	1	0	1	1121	0.313333333	0.095	0.146666667	0.0	0.065	0.0	0	0.076111111	1.5	0.19	0.0	0.120438
559	135	0	3	4	3	2	5	0.0	1	2012	4	11	3	18.25	63	0	1	2	1401	0.360833333	0.126944444	0.1425	0.0	0.123333333	0.0	0	0.1397222219999999	0.0	0.26	0.0	0.421471
571	140	0	3	4	4	6	1	1.0	1	2012	4	11	3	11.0	57	1	1	2	644	0.162777778	0.073055556	0.077222222	0.0	0.075	0.0	0	0.1047222219999999	1.5	0.35	0.0	0.2838199999999999
587	142	0	0	4	3	1	5	0.0	1	2012	4	11	3	10.0	62	0	1	2	5897	1.334722222	0.4013888889999999	0.103333333	0.0	0.561111111	0.093611111	1	0.325833333	0.0	0.94	0.0	0.6197779999999999
591	143	0	0	3	1	6	1	1.0	1	2012	4	11	3	8.5	53	0	1	0	7608	1.81	0.569722222	0.191111111	0.233333333	0.076666667	0.15	2	0.593055556	4.8	1.38	10.5	0.7274
603	145	0	1	4	3	2	5	0.0	1	2012	4	12	4	15.25	66	1	0	1	1104	0.3388888889999999	0.113333333	0.076111111	0.0	0.1166666669999999	0.0	0	0.104444444	0.0	0.22	0.0	0.0638298
625	152	1	2	4	3	1	1	0.0	1	2012	4	12	4	14.33333333	20	0	0	1	1822	0.460555556	0.141666667	0.075277778	0.0	0.166666667	0.0	0	0.1725	0.0	0.42	0.0	0.325282
647	155	1	0	4	1	6	1	1.0	1	2012	4	12	4	8.5	32	0	1	1	7930	1.919444444	0.7361111109999999	0.106388889	0.166666667	0.3375	0.1	1	0.693333333	4.4	1.6	10.5	0.753606
673	162	1	3	1	5	6	1	1.0	1	2012	4	12	4	14.0	18	1	0	0	1169	0.278055556	0.181111111	0.137222222	0.033333333	0.0	0.0	0	0.213333333	2.4	0.39	10.5	0.554688
676	163	0	1	1	3	1	5	0.0	1	2012	4	12	4	10.0	82	0	1	2	1473	0.328333333	0.120833333	0.088055556	0.0	0.076111111	0.0	0	0.074444444	0.0	0.24	0.0	0.0783582
684	166	1	1	2	1	6	4	1.0	1	2012	4	12	4	18.0	46	0	1	0	8375	1.993333333	0.631388889	0.087777778	0.1	0.503611111	0.2166666669999999	2	0.634444444	4.95	1.46	10.5	0.745622
694	170	0	2	3	3	1	1	1.0	1	2012	4	12	4	23.16666667	37	0	1	2	5438	1.343333333	0.491111111	0.182777778	0.3	0.0	0.0	0	0.361388889	2.4	1.09	0.0	0.603382
703	173	0	2	2	1	6	4	1.0	1	2012	4	13	5	16.5	30	1	0	0	2765	0.6875	0.229722222	0.096388889	0.0	0.306666667	0.0	0	0.160277778	1.5	0.49	0.0	0.343154
712	176	1	3	1	3	1	5	0.0	1	2012	4	13	5	10.76666667	77	0	0	1	1131	0.299444444	0.091388889	0.141944444	0.0	0.0875	0.0	0	0.095555556	0.0	0.24	0.0	0.209302
727	179	0	3	4	3	1	1	1.0	1	2012	4	13	5	22.0	27	0	1	1	5066	1.166388889	0.360555556	0.0252777779999999	0.0	0.37	0.143888889	1	0.2847222219999999	3.0	0.86	0.0	0.204878
744	180	2	0	4	3	2	5	0.0	1	2012	4	14	6	20.0	7	1	0	2	4987	1.128888889	0.3358333329999999	0.110277778	0.0	0.423888889	0.0	0	0.338611111	0.0	0.8	0.0	0.312551
766	184	2	0	4	3	2	3	0.0	1	2012	4	14	6	14.0	14	1	0	2	9886	2.514444444	0.782222222	0.080555556	0.0	0.895277778	0.154444444	1	0.465555556	0.0	1.47	0.0	0.301909
786	188	0	1	4	3	6	1	1.0	1	2012	4	14	6	10.5	30	1	0	0	3176	0.814722222	0.235	0.2125	0.0	0.308333333	0.0	0	0.262777778	1.5	0.69	0.0	0.44186
818	198	0	0	4	3	6	5	0.0	1	2012	4	15	7	12.5	77	1	0	0	2865	0.872777778	0.285833333	0.232222222	0.0	0.2738888889999999	0.083333333	1	0.165833333	0.0	0.53	0.0	0.489112
830	200	1	2	1	3	2	1	1.0	1	2012	4	15	7	13.5	58	1	1	1	1493	0.365833333	0.100277778	0.181111111	0.0	0.073888889	0.0	0	0.0775	1.5	0.21	0.0	0.0645160999999999
867	210	0	0	3	3	6	1	1.0	1	2012	4	15	7	10.5	32	0	1	0	3722	0.941944444	0.301111111	0.144444444	0.0	0.353055556	0.1011111109999999	1	0.2213888889999999	3.0	0.68	0.0	0.474279
887	213	0	1	4	5	1	1	1.0	1	2012	4	15	7	14.0	48	1	1	1	3960	0.901944444	0.2344444439999999	0.185	0.0	0.2372222219999999	0.0	0	0.147777778	1.5	0.54	0.0	0.218045
917	219	4	1	3	2	2	2	0.0	1	2012	4	16	1	12.83333333	16	0	0	1	3298	0.966388889	0.285555556	0.058888889	0.0	0.434166667	0.071666667	1	0.241388889	0.0	0.62	0.0	0.1242809999999999
950	225	1	4	4	3	1	1	1.0	1	2012	4	16	1	16.91666667	33	1	1	1	2785	0.6283333329999999	0.140555556	0.045277778	0.0	0.2775	0.0	0	0.1525	1.5	0.45	0.0	0.459016
951	225	2	0	3	3	1	2	0.0	1	2012	4	16	1	9.25	16	1	0	1	2757	0.6786111109999999	0.220277778	0.150555556	0.083333333	0.0	0.1166666669999999	1	0.198611111	1.05	0.54	0.0	0.345455
961	228	0	1	3	1	2	1	1.0	1	2012	4	16	1	17.5	35	0	1	2	7062	1.7541666669999998	0.622777778	0.056944444	0.35	0.0	0.1166666669999999	1	0.490555556	2.9	1.15	10.5	0.6828989999999999
1006	233	2	1	4	5	1	4	0.0	1	2012	4	17	2	7.75	18	0	1	1	2439	0.7275	0.2191666669999999	0.079166667	0.0	0.478055556	0.0925	1	0.2372222219999999	0.0	0.66	0.0	0.30445
1024	237	0	1	4	2	1	1	1.0	1	2012	4	17	2	8.266666667	50	1	1	2	1832	0.463055556	0.1863888889999999	0.221944444	0.0	0.1580555559999999	0.0	0	0.131388889	1.5	0.37	0.0	0.511628
1094	249	1	5	1	2	6	1	1.0	1	2012	4	18	3	15.5	51	1	0	0	1244	0.358333333	0.099444444	0.200555556	0.0	0.088055556	0.0	0	0.141666667	1.5	0.31	0.0	0.34902
1097	249	5	0	2	2	6	5	0.0	1	2012	4	18	3	8.333333332999999	9	0	0	0	1244	0.3677777779999999	0.1155555559999999	0.220277778	0.0	0.078888889	0.0	0	0.158333333	0.0	0.34	0.0	0.324561
1123	254	4	1	4	3	1	1	1.0	1	2012	4	18	3	18.75	30	0	1	1	4136	1.010833333	0.316944444	0.215833333	0.0	0.418055556	0.0	0	0.3388888889999999	1.5	0.82	0.0	0.666393
1127	255	1	2	3	3	6	1	1.0	1	2012	4	18	3	15.5	52	0	0	0	1339	0.341666667	0.119444444	0.068888889	0.0	0.18	0.0	0	0.186944444	1.5	0.36	0.0	0.410104
1138	257	1	0	3	2	1	1	1.0	1	2012	4	18	3	8.5	37	1	0	2	881	0.245833333	0.0608333329999999	0.11	0.0	0.041666667	0.0	0	0.073333333	1.5	0.19	0.0	0.280303
1188	267	1	0	3	1	6	1	1.0	1	2012	4	19	4	8.25	31	0	0	0	14733	3.518888889	1.163055556	0.265555556	0.566666667	0.0	0.0	0	1.037777778	3.9	2.75	10.5	0.7028909999999999
1218	270	4	5	4	3	1	5	0.0	1	2012	4	19	4	20.03333333	6	1	0	1	1194	0.376388889	0.1475	0.141388889	0.0	0.115833333	0.0	0	0.1255555559999999	0.0	0.31	0.0	0.400442
1242	276	0	4	4	3	1	1	1.0	1	2012	4	19	4	23.53333333	43	0	1	2	2667	0.650833333	0.219722222	0.082222222	0.0	0.151388889	0.124444444	1	0.157777778	3.0	0.46	0.0	0.0774648
1254	279	1	0	4	1	1	1	1.0	1	2012	4	19	4	21.5	54	0	1	1	9870	2.455555556	0.7433333329999999	0.2491666669999999	0.2666666669999999	0.1222222219999999	0.15	1	0.328055556	3.0	1.65	0.0	0.208298
1262	280	4	1	3	2	1	3	0.0	1	2012	4	19	4	18.5	12	0	0	1	5447	1.3580555559999998	0.4302777779999999	0.140277778	0.1	0.502777778	0.1	1	0.412777778	0.85	1.06	0.0	0.320323
1305	284	0	8	4	3	2	1	1.0	1	2012	4	20	5	18.5	32	1	1	2	4841	1.1925	0.420277778	0.131944444	0.0	0.3125	0.0	0	0.2394444439999999	1.5	0.67	0.0	0.204176
1322	285	3	0	1	2	2	5	0.0	1	2012	4	20	5	8.0	9	0	0	2	552	0.123611111	0.046944444	0.067777778	0.0	0.026666667	0.0	0	0.055833333	0.0	0.09	0.0	0.0298507
1324	285	4	0	1	2	2	5	0.0	1	2012	4	20	5	8.0	8	1	0	2	552	0.123611111	0.046944444	0.067777778	0.0	0.026666667	0.0	0	0.055833333	0.0	0.09	0.0	0.0298507
1344	288	0	6	4	4	2	1	1.0	1	2012	4	20	5	16.53333333	28	1	1	1	6192	1.5147222219999998	0.510555556	0.2444444439999999	0.316666667	0.0	0.0	0	0.458055556	2.9	0.96	10.5	0.666465
1377	296	0	4	4	5	2	4	1.0	1	2012	4	20	5	16.5	51	0	1	2	2053	0.563055556	0.205	0.212777778	0.0	0.177777778	0.0	0	0.169722222	1.5	0.41	0.0	0.476268
1378	296	0	5	4	5	2	4	1.0	1	2012	4	20	5	17.16666667	51	0	1	2	4081	0.980277778	0.337222222	0.054444444	0.35	0.0	0.083333333	1	0.323611111	1.6	0.7	0.0	0.454077
1416	300	0	1	4	3	1	1	1.0	1	2012	4	20	5	14.38333333	62	0	1	2	2057	0.53	0.145555556	0.186111111	0.0	0.145277778	0.0	0	0.151111111	1.5	0.39	0.0	0.0551471
1455	308	0	2	4	3	1	1	1.0	1	2012	4	21	6	11.0	57	0	1	1	1263	0.354166667	0.139166667	0.086944444	0.0	0.124722222	0.0	0	0.112222222	1.5	0.3	0.0	0.116337
1499	316	3	4	1	3	1	1	1.0	1	2012	4	21	6	17.5	48	1	0	1	2286	0.611666667	0.203888889	0.224722222	0.0	0.176388889	0.0	0	0.196111111	1.5	0.49	0.0	0.291785
1503	318	1	0	1	3	1	1	1.0	1	2012	4	21	6	16.0	23	0	1	1	472	0.1047222219999999	0.040833333	0.065555556	0.0	0.056944444	0.0	0	0.027777778	1.5	0.08	0.0	0.17
1574	329	0	3	3	3	6	1	1.0	1	2012	4	22	7	20.0	39	0	0	0	5855	1.329722222	0.498333333	0.171388889	0.0	0.3833333329999999	0.0	0	0.379166667	1.5	0.87	0.0	0.5450550000000001
1606	335	2	0	3	3	6	1	0.5	1	2012	4	22	7	12.0	18	0	0	0	2140	0.6283333329999999	0.193333333	0.139166667	0.0	0.316666667	0.0	0	0.189722222	0.75	0.48	0.0	0.225476
1623	338	2	1	3	3	1	5	0.0	1	2012	4	22	7	18.0	6	0	0	1	11899	2.7075	0.813888889	0.094166667	0.0	0.925	0.090277778	1	0.605555556	0.0	1.98	0.0	0.558716
1625	339	1	1	4	3	1	5	0.0	1	2012	4	22	7	16.33333333	76	1	1	1	3328	0.806388889	0.234166667	0.209166667	0.0	0.173333333	0.0	0	0.166388889	0.0	0.53	0.0	0.125209
1637	344	0	0	3	3	6	1	1.0	1	2012	4	22	7	13.5	38	0	0	0	694	0.181388889	0.0586111109999999	0.090555556	0.0	0.0388888889999999	0.0	0	0.053888889	1.5	0.14	0.0	0.257732
1654	346	3	2	4	3	1	5	0.0	1	2012	4	23	1	17.5	5	1	0	1	6622	1.763888889	0.7644444440000001	0.5741666670000001	0.0	0.283333333	0.0	0	0.281111111	0.0	1.03	0.0	0.185771
1692	353	3	2	4	3	1	3	0.0	1	2012	4	23	1	19.0	15	1	0	1	2160	0.5508333329999999	0.1472222219999999	0.183611111	0.0	0.148888889	0.0	0	0.18	0.0	0.53	0.0	0.12963
1698	355	0	0	3	3	6	5	0.0	1	2012	4	23	1	10.0	72	1	1	0	1099	0.3358333329999999	0.128333333	0.098888889	0.0	0.1166666669999999	0.0	0	0.127777778	0.0	0.32	0.0	0.236957
1701	356	0	1	3	3	6	5	0.0	1	2012	4	23	1	17.0	73	1	0	0	10119	2.541111111	0.7405555559999999	0.370833333	0.416666667	0.0	0.133333333	1	0.65	0.0	1.73	0.0	0.458974
1730	363	2	0	1	1	1	1	1.0	1	2012	4	24	2	7.5	18	1	0	1	1328	0.313333333	0.0975	0.11	0.0	0.118333333	0.0	0	0.113055556	1.5	0.34	0.0	0.115479
1735	364	2	0	3	2	1	2	0.0	1	2012	4	24	2	7.75	16	0	0	1	2467	0.561111111	0.1675	0.226111111	0.0	0.096388889	0.0	0	0.135	0.0	0.39	0.0	0.0534979
1747	365	0	7	4	3	1	1	1.0	1	2012	4	25	3	16.33333333	45	0	1	1	1088	0.338055556	0.0975	0.074722222	0.0	0.0891666669999999	0.0	0	0.091111111	1.5	0.25	0.0	0.0152439
1761	368	0	0	4	2	1	1	1.0	1	2012	4	25	3	8.666666667000001	44	1	1	1	1670	0.3908333329999999	0.096388889	0.138611111	0.066666667	0.0	0.0	0	0.134444444	1.7	0.34	0.0	0.283058
1770	368	3	1	4	2	1	5	0.0	1	2012	4	25	3	12.0	9	1	0	1	1670	0.438611111	0.148888889	0.133611111	0.083333333	0.0	0.0	0	0.135555556	0.0	0.34	0.0	0.346311
1824	378	2	0	1	2	1	5	0.0	1	2012	4	25	3	8.25	10	0	0	1	1418	0.327777778	0.083888889	0.186111111	0.0	0.076666667	0.0	0	0.111111111	0.0	0.32	0.0	0.27
1842	381	1	2	4	3	1	1	1.0	1	2012	4	26	4	14.5	37	1	1	1	2111	0.5175	0.212222222	0.074722222	0.0	0.164722222	0.173888889	1	0.131944444	3.0	0.4	0.0	0.231579
1847	381	1	8	4	3	1	1	1.0	1	2012	4	26	4	20.0	37	1	1	1	2111	0.488055556	0.129722222	0.245277778	0.0	0.050833333	0.0	0	0.090277778	1.5	0.33	0.0	0.1753849999999999
1854	382	3	3	4	4	1	1	1.0	1	2012	4	26	4	13.5	53	0	1	2	4063	1.073611111	0.4427777779999999	0.270833333	0.133333333	0.0	0.0	0	0.495833333	2.4	1.12	10.5	0.666667
1894	393	0	2	4	4	2	1	1.0	1	2012	4	27	5	14.5	43	0	1	2	2031	0.5397222220000001	0.153611111	0.224444444	0.0	0.204166667	0.0	0	0.124722222	1.5	0.32	0.0	0.25167
1915	397	2	1	4	5	2	5	0.0	1	2012	4	27	5	15.28333333	9	1	0	2	1699	0.468055556	0.131111111	0.166388889	0.0	0.143055556	0.0	0	0.127777778	0.0	0.31	0.0	0.11087
1922	399	3	1	3	5	2	2	0.0	1	2012	4	27	5	13.0	17	0	0	1	1402	0.3702777779999999	0.124444444	0.2713888889999999	0.0	0.0325	0.0	0	0.153888889	0.0	0.31	0.0	0.151625
1963	408	4	0	4	3	1	3	0.0	1	2012	4	28	6	13.0	11	0	0	1	18692	4.610833333	1.3902777780000002	0.339444444	0.6166666670000001	0.1425	0.1166666669999999	1	1.026111111	0.75	4.31	0.0	0.5711970000000001
2017	418	3	1	3	5	2	1	1.0	1	2012	4	28	6	17.83333333	26	0	0	1	1377	0.355833333	0.176666667	0.073888889	0.0	0.252777778	0.0	0	0.176388889	1.5	0.33	0.0	0.845669
2018	418	3	2	3	3	2	1	1.0	1	2012	4	28	6	19.5	26	0	0	1	8726	2.091944444	0.677222222	0.1844444439999999	0.35	0.0	0.0	0	0.561388889	2.6	1.33	0.0	0.720435
2055	429	1	1	4	3	1	1	0.0	1	2012	4	29	7	15.91666667	52	0	1	2	11624	2.891666667	0.8461111109999999	0.223611111	0.3	0.4008333329999999	0.211111111	2	0.526111111	1.5	1.92	0.0	0.3210139999999999
2063	433	0	0	3	2	6	4	1.0	1	2012	4	29	7	8.5	34	1	1	0	14601	3.414166667	1.138888889	0.215833333	0.533333333	0.0	0.1	1	0.55	1.85	1.96	0.0	0.368687
2066	434	0	3	4	3	1	1	1.0	1	2012	4	29	7	14.5	55	1	1	2	5397	1.269444444	0.531666667	0.200277778	0.0	0.557777778	0.0	0	0.363611111	1.5	0.92	0.0	0.786096
2113	444	3	0	3	2	6	3	0.0	1	2012	4	30	1	7.5	15	1	0	0	6864	1.768055556	0.52	0.229444444	0.083333333	0.3727777779999999	0.133333333	1	0.359166667	0.85	1.15	0.0	0.405259
2175	455	2	0	3	2	2	3	0.0	1	2012	4	30	1	8.0	11	0	0	2	1701	0.501111111	0.206111111	0.303333333	0.0	0.141944444	0.0	0	0.166111111	0.0	0.35	0.0	0.391304
2203	458	0	1	4	3	1	1	1.0	1	2012	4	30	1	19.0	43	1	1	2	1577	0.379722222	0.106111111	0.203055556	0.0	0.0611111109999999	0.0	0	0.113055556	1.5	0.35	0.0	0.199017
2205	458	1	1	3	2	1	5	0.0	1	2012	4	30	1	14.83333333	13	1	0	2	898	0.27	0.102777778	0.1266666669999999	0.0	0.044444444	0.0	0	0.075277778	0.0	0.2	0.0	0.0516605
2207	458	1	3	4	3	1	5	0.0	1	2012	4	30	1	19.0	13	1	0	2	1577	0.379722222	0.106111111	0.203055556	0.0	0.0611111109999999	0.0	0	0.113055556	0.0	0.35	0.0	0.199017
2219	461	1	2	1	3	2	1	1.0	1	2012	4	30	1	14.0	56	1	1	1	1223	0.2844444439999999	0.079722222	0.129722222	0.0	0.078611111	0.0	0	0.076388889	1.5	0.17	0.0	0.185455
2243	468	1	0	1	1	2	1	1.0	1	2012	5	1	2	8.916666667000001	36	0	1	1	427	0.163333333	0.0711111109999999	0.042222222	0.0	0.036666667	0.0	0	0.058333333	1.5	0.11	0.0	0.0761905
2258	472	0	4	4	3	5	1	1.0	1	2012	5	1	2	15.66666667	45	1	1	2	1158	0.324166667	0.098611111	0.178055556	0.0	0.046666667	0.0	0	0.061666667	1.5	0.26	0.0	0.0225225
2279	476	1	1	3	1	2	1	1.0	1	2012	5	1	2	18.25	36	1	0	1	6511	1.478055556	0.4875	0.136388889	0.2	0.0	0.0	0	0.533333333	2.5	1.07	0.0	0.708854
2294	480	0	4	4	5	1	1	1.0	1	2012	5	1	2	21.93333333	54	0	1	1	12160	2.949166667	0.8552777779999999	0.148888889	0.15	0.3833333329999999	0.233333333	2	0.347777778	4.5	1.88	0.0	0.14377
2299	481	0	0	4	3	1	5	0.0	1	2012	5	1	2	9.75	70	1	1	2	841	0.238055556	0.104444444	0.1963888889999999	0.0	0.04	0.0	0	0.131388889	0.0	0.31	0.0	0.3615219999999999
2306	484	0	2	1	2	1	1	1.0	1	2012	5	2	3	12.5	54	1	1	2	640	0.172777778	0.066388889	0.1005555559999999	0.0	0.047222222	0.0	0	0.035	1.5	0.12	0.0	0.0714286
2324	488	4	0	3	2	1	5	0.0	1	2012	5	2	3	7.25	9	1	0	1	3793	0.8694444440000001	0.255555556	0.143333333	0.0	0.336666667	0.0	0	0.306111111	0.0	0.81	0.0	0.572595
2330	490	1	0	3	4	1	1	1.0	1	2012	5	2	3	8.0	25	0	1	1	10731	2.544166667	0.868055556	0.153333333	0.333333333	0.295833333	0.2166666669999999	2	0.7869444440000001	4.4	2.07	0.0	0.84257
2346	495	0	3	1	3	3	4	1.0	1	2012	5	2	3	12.08333333	42	1	1	1	506	0.137777778	0.073055556	0.1075	0.0	0.020833333	0.0	0	0.056944444	1.5	0.14	0.0	0.4
2354	497	1	0	3	1	1	1	1.0	1	2012	5	2	3	6.666666667	42	1	0	2	6800	1.582777778	0.5227777779999999	0.161944444	0.0	0.561388889	0.103888889	1	0.46	3.0	1.26	10.5	0.576087
2355	497	1	1	3	1	1	1	1.0	1	2012	5	2	3	15.5	42	1	0	2	6800	1.638888889	0.547222222	0.308055556	0.3	0.0	0.0	0	0.487222222	2.6	1.29	10.5	0.6727479999999999
2365	500	0	2	4	3	1	5	0.0	1	2012	5	2	3	17.5	76	0	1	1	1135	0.300277778	0.080277778	0.069722222	0.0	0.1075	0.0	0	0.107777778	0.0	0.3	0.0	0.301546
2379	503	0	3	1	3	1	5	0.0	1	2012	5	3	4	22.91666667	76	0	1	1	550	0.136944444	0.0575	0.044444444	0.0	0.035555556	0.0	0	0.079722222	0.0	0.19	0.0	0.240418
2389	505	0	0	3	3	6	5	0.0	1	2012	5	3	4	13.0	59	1	1	0	483	0.1175	0.033055556	0.029722222	0.0	0.04	0.0	0	0.045277778	0.0	0.09	0.0	0.361963
2413	508	2	1	3	5	2	2	0.0	1	2012	5	4	5	15.5	16	1	0	1	3029	0.8311111109999999	0.258055556	0.1566666669999999	0.0	0.208333333	0.0	0	0.185277778	0.0	0.53	0.0	0.350825
2424	509	2	0	3	1	2	1	1.0	1	2012	5	4	5	8.0	22	1	1	1	12744	3.08	0.9875	0.145	0.433333333	0.068611111	0.223055556	1	1.063888889	4.8	2.12	10.5	0.795822
2463	516	0	0	1	1	6	1	1.0	1	2012	5	4	5	7.25	36	1	1	0	2500	0.576944444	0.169166667	0.1041666669999999	0.0	0.362777778	0.0	0	0.1197222219999999	1.5	0.37	0.0	0.296984
2471	518	0	2	1	2	1	4	1.0	1	2012	5	4	5	9.333333333	42	1	1	2	1018	0.276666667	0.0886111109999999	0.090833333	0.0	0.074166667	0.0	0	0.095	1.5	0.24	0.0	0.131579
2479	518	3	2	4	3	2	5	0.0	1	2012	5	4	5	17.0	6	1	0	2	588	0.196944444	0.0627777779999999	0.088055556	0.0	0.036388889	0.0	0	0.051944444	0.0	0.12	0.0	0.13369
